Type: filter
Name: Semrock FF01-676/37 Optical Filter
Wavelength (nm), Transmission (0 to 1)
265.0,6.7793e-06
265.2,6.6494e-06
265.4,6.522e-06
265.6,6.3971e-06
265.8,6.2745e-06
266.0,6.1543e-06
266.2,6.0364e-06
266.4,5.9208e-06
266.6,5.8074e-06
266.8,5.6961e-06
267.0,5.587e-06
267.2,4.9932e-06
267.4,4.454e-06
267.6,3.9731e-06
267.8,3.544e-06
268.0,3.1614e-06
268.2,2.82e-06
268.4,2.5155e-06
268.6,2.2439e-06
268.8,2.0016e-06
269.0,1.7854e-06
269.2,1.5927e-06
269.4,1.4207e-06
269.6,1.2673e-06
269.8,1.1304e-06
270.0,1.0084e-06
270.2,8.9948e-07
270.4,8.0236e-07
270.6,7.1572e-07
270.8,6.5965e-07
271.0,6.5387e-07
271.2,6.4814e-07
271.4,6.4247e-07
271.6,6.3684e-07
271.8,6.3126e-07
272.0,6.2573e-07
272.2,6.2025e-07
272.4,6.1481e-07
272.6,6.0942e-07
272.8,6.0409e-07
273.0,5.9879e-07
273.2,5.9355e-07
273.4,5.8835e-07
273.6,5.8319e-07
273.8,5.7808e-07
274.0,5.7302e-07
274.2,5.68e-07
274.4,5.6302e-07
274.6,1.15e-06
274.8,3.4669e-06
275.0,1.0452e-05
275.2,1.0953e-05
275.4,1.1478e-05
275.6,1.0635e-05
275.8,8.9295e-06
276.0,7.4972e-06
276.2,6.2947e-06
276.4,5.285e-06
276.6,4.4373e-06
276.8,3.7255e-06
277.0,3.128e-06
277.2,2.6262e-06
277.4,2.205e-06
277.6,1.8513e-06
277.8,1.5543e-06
278.0,1.305e-06
278.2,1.0957e-06
278.4,9.1995e-07
278.6,7.7239e-07
278.8,6.485e-07
279.0,5.4448e-07
279.2,4.5714e-07
279.4,4.4318e-07
279.6,4.3736e-07
279.8,4.316e-07
280.0,4.2593e-07
280.2,4.2033e-07
280.4,4.148e-07
280.6,4.0934e-07
280.8,4.0396e-07
281.0,3.9865e-07
281.2,3.9341e-07
281.4,3.8823e-07
281.6,3.8313e-07
281.8,3.7809e-07
282.0,3.7312e-07
282.2,3.6821e-07
282.4,3.6337e-07
282.6,3.5859e-07
282.8,3.5387e-07
283.0,3.4897e-07
283.2,3.4336e-07
283.4,3.3783e-07
283.6,3.324e-07
283.8,3.2705e-07
284.0,3.2179e-07
284.2,3.1662e-07
284.4,3.1152e-07
284.6,3.0651e-07
284.8,3.0158e-07
285.0,2.9673e-07
285.2,2.9105e-07
285.4,2.8549e-07
285.6,3.0316e-07
285.8,3.3906e-07
286.0,3.7921e-07
