Type: filter
Name: Chroma ET540/80x batch 283571
Wavelength (nm), Transmission (0 to 1)
300,0.0000001
301,0.0000001
302,0.0000002
303,0.0000003
304,0.0000003
305,0.0000007
306,0.0000004
307,0.000001
308,0.0000002
309,0.0000003
310,0.0000003
311,0.0000006
312,0.0000005
313,0.0000005
314,0.0000003
315,0.000001
316,0.0000001
317,0.0000007
318,0.0000003
319,0.0000005
320,0.0000009
321,0.0000005
322,0.0000002
323,0.000001
324,0.0000002
325,0.0000002
326,0.0000008
327,0.0000001
328,0.0000001
329,0.0000004
330,0.0000006
331,0.0000015
332,0.0000003
333,0.0000011
334,0.0000007
335,0.0000003
336,0
337,0.0000002
338,0.0000006
339,0.0000022
340,0.0000013
341,0.0000003
342,0.0000011
343,0.0000006
344,0
345,0.0000007
346,0.0000006
347,0.0000003
348,0.0000003
349,0.0000015
350,0.0000002
351,0.0000001
352,0.0000002
353,0.0000002
354,0.0000003
355,0
356,0.0000001
357,0
358,0.0000003
359,0
360,0.0000003
361,0.0000002
362,0.0000003
363,0.0000003
364,0
365,0.0000005
366,0
367,0
368,0
369,0.0000003
370,0.0000002
371,0.0000003
372,0.0000005
373,0.000001
374,0
375,0.0000005
376,0.0000005
377,0
378,0.0000004
379,0.0000004
380,0
381,0
382,0
383,0.0000002
384,0
385,0.0000003
386,0.0000001
387,0.0000002
388,0.0000001
389,0.0000001
390,0
391,0
392,0
393,0.0000001
394,0.0000009
395,0.000002
396,0
397,0
398,0.0000006
399,0.0000002
400,0.0000006
401,0
402,0
403,0.0000001
404,0.0000001
405,0.0000001
406,0.0000001
407,0.0000002
408,0
409,0.0000001
410,0.0000001
411,0.0000001
412,0.0000002
413,0.0000002
414,0.0000001
415,0.0000001
416,0.0000002
417,0.0000001
418,0.0000001
419,0
420,0
421,0.0000001
422,0.0000001
423,0.0000001
424,0.0000001
425,0
426,0
427,0
428,0.0000001
429,0
430,0
431,0.0000001
432,0.0000001
433,0.0000001
434,0.0000001
435,0.0000002
436,0.0000001
437,0
438,0
439,0
440,0.0000002
441,0.0000002
442,0.0000001
443,0.0000001
444,0.0000001
445,0.0000016
446,0.0000062
447,0.000001
448,0.0000001
449,0.0000001
450,0
451,0.0000001
452,0
453,0
454,0
455,0
456,0
457,0.0000001
458,0
459,0
460,0
461,0.0000001
462,0.0000001
463,0
464,0
465,0
466,0
467,0
468,0
469,0.0000001
470,0.0000001
471,0
472,0
473,0
474,0.0000001
475,0.0000001
476,0.0000001
477,0.0000001
478,0.0000001
479,0.0000003
480,0.0000003
481,0.0000004
482,0.0000004
483,0.0000005
484,0.0000002
485,0.0000002
486,0.0000001
487,0.0000004
488,0.0000002
489,0.0000002
490,0.0000001
491,0.0000001
492,0.0000002
493,0.0000002
494,0.0000003
495,0.0000007
496,0.0000018
497,0.0000092
498,0.0001127
499,0.0022355
500,0.142915
501,0.759847
502,0.953985
503,0.956511
504,0.970095
505,0.975998
506,0.979067
507,0.977726
508,0.979988
509,0.975648
510,0.977207
511,0.97963
512,0.97939
513,0.98214
514,0.977314
515,0.977007
516,0.98268
517,0.982366
518,0.978578
519,0.982985
520,0.982486
521,0.976851
522,0.978954
523,0.984106
524,0.983925
525,0.984501
526,0.983973
527,0.983587
528,0.983411
529,0.983905
530,0.985105
531,0.981333
532,0.981036
533,0.982775
534,0.981539
535,0.980787
536,0.985008
537,0.984731
538,0.986061
539,0.985322
540,0.984238
541,0.982024
542,0.983168
543,0.986614
544,0.982695
545,0.978986
546,0.981325
547,0.983138
548,0.985759
549,0.983963
550,0.986114
551,0.98655
552,0.982433
553,0.98132
554,0.984909
555,0.985109
556,0.983106
557,0.980234
558,0.982377
559,0.981682
560,0.979804
561,0.983722
562,0.985446
563,0.983549
564,0.984777
565,0.983325
566,0.981468
567,0.982625
568,0.983763
569,0.979446
570,0.974046
571,0.982046
572,0.97829
573,0.965899
574,0.969499
575,0.972688
576,0.973102
577,0.966456
578,0.92563
579,0.938848
580,0.54968
581,0.0387565
582,0.0061878
583,0.0003084
584,0.0000264
585,0.0000031
586,0.0000006
587,0.0000002
588,0.0000001
589,0.0000001
590,0
591,0
592,0
593,0.0000001
594,0
595,0
596,0.0000001
597,0
598,0
599,0.0000001
600,0
601,0.0000001
602,0.0000001
603,0
604,0
605,0.0000001
606,0.0000001
607,0
608,0
609,0
610,0
611,0
612,0.0000001
613,0
614,0
615,0
616,0
617,0.0000001
618,0
619,0.0000001
620,0
621,0
622,0
623,0
624,0
625,0.0000001
626,0
627,0
628,0
629,0
630,0
631,0
632,0.0000003
633,0.0000004
634,0.0000006
635,0.0000004
636,0.0000004
637,0.0000003
638,0.0000002
639,0.0000002
640,0.0000002
641,0.0000002
642,0.0000002
643,0.0000002
644,0.0000001
645,0.0000001
646,0
647,0.0000001
648,0
649,0
650,0.0000001
651,0.0000001
652,0.0000002
653,0.0000006
654,0.0000009
655,0.000001
656,0.0000008
657,0.0000006
658,0.0000004
659,0.0000003
660,0.0000002
661,0.0000002
662,0.0000002
663,0.0000002
664,0.0000002
665,0.0000001
666,0.0000001
667,0.0000002
668,0.0000002
669,0.0000001
670,0.0000001
671,0.0000001
672,0.0000001
673,0.0000002
674,0.0000002
675,0.0000001
676,0
677,0.0000002
678,0.0000001
679,0.0000003
680,0.0000004
681,0.0000004
682,0.0000007
683,0.0000009
684,0.0000008
685,0.0000006
686,0.0000006
687,0.0000006
688,0.0000007
689,0.0000007
690,0.0000011
691,0.000001
692,0.0000007
693,0.0000005
694,0.0000004
695,0.0000003
696,0.0000001
697,0.0000001
698,0.0000004
699,0.0000003
700,0.0000003
701,0.0000003
702,0.0000006
703,0.0000007
704,0.0000009
705,0.0000009
706,0.0000012
707,0.0000011
708,0.0000009
709,0.0000007
710,0.0000006
711,0.0000005
712,0.0000004
713,0.0000001
714,0.0000003
715,0.0000005
716,0.0000002
717,0.0000003
718,0.0000002
719,0.0000006
720,0.0000007
721,0.0000008
722,0.000001
723,0.0000014
724,0.0000014
725,0.0000009
726,0.0000012
727,0.0000012
728,0.0000015
729,0.0000014
730,0.0000013
731,0.0000011
732,0.0000006
733,0.0000008
734,0.0000004
735,0.0000006
736,0.0000005
737,0.0000007
738,0.0000011
739,0.000001
740,0.0000012
741,0.0000009
742,0.0000008
743,0.0000009
744,0.0000009
745,0.0000015
746,0.0000014
747,0.0000014
748,0.0000011
749,0.0000009
750,0.0000003
751,0.0000003
752,0.0000004
753,0.0000001
754,0.0000003
755,0.0000002
756,0.0000003
757,0.0000003
758,0.0000005
759,0.0000008
760,0.0000013
761,0.0000007
762,0.0000007
763,0.0000009
764,0.0000008
765,0.000001
766,0.0000011
767,0.0000008
768,0.0000012
769,0.0000015
770,0.0000014
771,0.0000013
772,0.0000014
773,0.0000016
774,0.0000008
775,0.0000004
776,0.0000013
777,0.0000009
778,0.0000009
779,0.0000009
780,0.000001
781,0.0000012
782,0.0000014
783,0.0000008
784,0.0000004
785,0.0000009
786,0.0000006
787,0.0000016
788,0.0000014
789,0.0000014
790,0.000001
791,0.0000008
792,0.0000008
793,0.0000005
794,0.0000001
795,0
796,0.0000005
797,0.0000006
798,0.0000001
799,0.0000001
800,0.0000002
801,0.0000001
802,0.0000011
803,0.000001
804,0.0000015
805,0.0000014
806,0.0000013
807,0.0000002
808,0.0000004
809,0.0000007
810,0.0000003
811,0.0000002
812,0.0000003
813,0.0000005
814,0
815,0.0000008
816,0.000001
817,0.0000006
818,0.0000005
819,0.0000006
820,0.0000005
821,0.0000008
822,0.0000007
823,0.0000011
824,0.000001
825,0.000001
826,0.0000021
827,0.0000013
828,0.0000012
829,0.000002
830,0.0000022
831,0.0000008
832,0.0000008
833,0.0000009
834,0.0000011
835,0.0000016
836,0
837,0.0000006
838,0.000001
839,0.000001
840,0.0000029
841,0.0000012
842,0.0000026
843,0.0000046
844,0.000002
845,0.0000038
846,0.0000022
847,0.0000017
848,0.0000021
849,0.0000014
850,0.0000011
851,0.0000011
852,0.0000013
853,0.0000011
854,0.000001
855,0.0000009
856,0.0000007
857,0.0000007
858,0.0000008
859,0.000001
860,0.0000008
861,0.0000007
862,0.0000008
863,0.0000007
864,0.0000007
865,0.0000007
866,0.0000005
867,0.0000007
868,0.0000008
869,0.0000006
870,0.0000007
871,0.0000007
872,0.0000009
873,0.0000012
874,0.000001
875,0.0000011
876,0.0000011
877,0.0000014
878,0.0000013
879,0.0000014
880,0.0000016
881,0.0000017
882,0.0000014
883,0.0000016
884,0.0000014
885,0.0000013
886,0.0000014
887,0.0000015
888,0.0000013
889,0.0000013
890,0.0000014
891,0.0000014
892,0.0000013
893,0.0000013
894,0.0000013
895,0.0000013
896,0.0000015
897,0.0000012
898,0.0000013
899,0.0000012
900,0.0000013
901,0.0000013
902,0.0000011
903,0.0000012
904,0.0000009
905,0.0000011
906,0.000001
907,0.000001
908,0.0000009
909,0.0000011
910,0.0000014
911,0.0000014
912,0.0000014
913,0.0000015
914,0.0000015
915,0.0000015
916,0.0000014
917,0.0000013
918,0.0000013
919,0.0000014
920,0.0000011
921,0.0000012
922,0.0000013
923,0.0000013
924,0.0000013
925,0.0000012
926,0.0000013
927,0.0000013
928,0.0000015
929,0.0000012
930,0.0000014
931,0.0000011
932,0.000001
