Wavelength,API_0022
300,0.14
302,1.85
304,3.88
306,11.83
308,11.92
310,5.61
312,6.55
314,5.12
316,0.94
318,0.08
320,0.07
322,0.23
324,0.58
326,0.43
328,4.7
330,11.26
332,9.94
334,7.23
336,3.05
338,0.48
340,2.56
342,7.86
344,15.34
346,17.66
348,9.61
350,9.39
352,13.15
354,14.72
356,15.02
358,7.49
360,3.04
362,7.89
364,14.21
366,11.89
368,5.11
370,2.95
372,6.03
374,10.78
376,13.79
378,16.4
380,21.56
382,24.01
384,26.24
386,44.5
388,66.89
390,76.27
392,79.87
394,80.92
396,80.08
398,83.18
400,89.14
402,92.93
404,93.44
406,93.83
408,93.42
410,84.96
412,58.3
414,25.06
416,4.91
418,1.48
420,1.96
422,6.98
424,24.01
426,54.5
428,82.65
430,94.81
432,96.16
434,95.91
436,95.69
438,95.62
440,95.68
442,95.91
444,95.98
446,95.99
448,96.23
450,96.24
452,95.81
454,95.35
456,95.54
458,95.51
460,95.5
462,95.98
464,95.46
466,92.27
468,80.15
470,58.42
472,32.52
474,14.18
476,6.88
478,6.11
480,10.85
482,26.14
484,52.29
486,77.75
488,93.4
490,93.15
492,82.33
494,63.35
496,40.59
498,22.59
500,12.97
502,9.1
504,7.95
506,7.65
508,7.4
510,7.05
512,6.99
514,8.09
516,11.81
518,20.48
520,35.26
522,52.9
524,69.04
526,80.7
528,87.5
530,92.53
532,95.31
534,94.72
536,92.04
538,88.58
540,85.17
542,82.26
544,79.63
546,76.67
548,73.12
550,69.21
552,65.39
554,62.25
556,60.77
558,62.16
560,67.02
562,74.73
564,83.05
566,89.68
568,93.5
570,95.11
572,95.7 
574,95.92
576,95.97
578,95.94
580,95.89
582,95.92
584,96.05
586,96.05
588,95.87
590,95.91
592,96.15
594,96.32
596,96.4 
598,96.41
600,96.47
602,96.61
604,96.72
606,96.75
608,96.59
610,96.38
612,96.4 
614,96.54
616,96.74
618,96.93
620,96.73
622,95.01
624,90.26
626,82.86
628,74.39
630,65.85
632,58.12
634,51.86
636,46.09
638,39.93
640,34.44
642,30.63
644,27.79
646,24.68
648,20.54
650,14.94
652,9
654,4.86
656,2.83
658,1.9
660,1.44
662,1.19
664,1.03
666,0.99
668,1.13
670,1.49
672,1.78
674,1.78
676,1.54
678,1
680,0.43
682,0.16
684,0.09
686,0.07
688,0.07
690,0.13
692,0.33
694,0.49
696,0.5
698,0.48
700,0.39
702,0.18
704,0.04
706,0.02
708,0.01
710,0.01
712,0.01
714,0.01
716,0.01
718,0.01
720,0.01
722,0.01
724,0.01
726,0.01
728,0.02
730,0.02
732,0.04
734,0.05
736,0.09
738,0.19
740,0.55
742,2.51
744,6
746,8.21
748,9.22
750,10.07
752,11.09
754,11.11
756,12.68
758,17.09
760,21.04
762,23.64
764,25.41
766,27.27
768,29.09
770,29.89
772,30.54
774,33.05
776,30.54
778,25.17
780,18.48
782,12.94
784,7.52
786,3.63
788,2.86
790,3.79
792,6.82
794,12.46
796,18.29
798,24.36
800,28.78
