wavelength,R-0048
300,2.59   
302,3.09   
304,3.57   
306,3.59   
308,3.09   
310,2.99   
312,3.74   
314,4.39   
316,4.38   
318,4.22   
320,4.15   
322,3.82   
324,3.57   
326,3.37   
328,3      
330,2.53   
332,2.17   
334,1.9    
336,1.75   
338,1.69   
340,1.59   
342,1.51   
344,1.42   
346,1.29   
348,1.17   
350,1.12   
352,1.14   
354,1.15   
356,1.13   
358,1.08   
360,1.05   
362,1.01   
364,0.99   
366,0.99   
368,1      
370,1.01   
372,1      
374,0.97   
376,0.94   
378,0.92   
380,0.89   
382,0.87   
384,0.85   
386,0.85   
388,0.85   
390,0.85   
392,0.77   
394,0.59   
396,0.36   
398,0.17   
400,0.07   
402,0.04   
404,0.04   
406,0.05   
408,0.1    
410,0.22   
412,0.41   
414,0.63   
416,0.8    
418,0.89   
420,0.92   
422,0.93   
424,0.93   
426,0.93   
428,0.94   
430,0.94   
432,0.95   
434,0.95   
436,0.95   
438,0.95   
440,0.95   
442,0.93   
444,0.91   
446,0.85   
448,0.72   
450,0.53   
452,0.33   
454,0.17   
456,0.09   
458,0.12   
460,0.23   
462,0.41   
464,0.61   
466,0.78   
468,0.89   
470,0.94   
472,0.95   
474,0.94   
476,0.9    
478,0.8    
480,0.64   
482,0.44   
484,0.25   
486,0.12   
488,0.06   
490,0.07   
492,0.14   
494,0.27   
496,0.44   
498,0.63   
500,0.78   
502,0.85   
504,0.83   
506,0.72   
508,0.55   
510,0.37   
512,0.21   
514,0.1    
516,0.05   
518,0.03   
520,0.03   
522,0.03   
524,0.03   
526,0.04   
528,0.05   
530,0.08   
532,0.11   
534,0.14   
536,0.19   
538,0.24   
540,0.31   
542,0.37   
544,0.45   
546,0.52   
548,0.57   
550,0.62   
552,0.67   
554,0.75   
556,0.83   
558,0.9    
560,0.96   
562,0.98   
564,0.99   
566,0.99   
568,0.99   
570,0.99   
572,0.99   
574,0.98   
576,0.97   
578,0.93   
580,0.85   
582,0.73   
584,0.57   
586,0.4    
588,0.24   
590,0.13   
592,0.07   
594,0.06   
596,0.09   
598,0.15   
600,0.23   
602,0.34   
604,0.47   
606,0.6    
608,0.72   
610,0.82   
612,0.88   
614,0.92   
616,0.93   
618,0.93   
620,0.93   
622,0.92   
624,0.92   
626,0.92   
628,0.92   
630,0.92   
632,0.92   
634,0.92   
636,0.92   
638,0.92   
640,0.92   
642,0.93   
644,0.94   
646,0.95   
648,0.95   
650,0.95   
652,0.95   
654,0.94   
656,0.93   
658,0.93   
660,0.92   
662,0.92   
664,0.92   
666,0.93   
668,0.92   
670,0.92   
672,0.92   
674,0.92   
676,0.92   
678,0.92   
680,0.92   
682,0.93   
684,0.93   
686,0.94   
688,0.94   
690,0.95   
692,0.95   
694,0.96   
696,0.97   
698,0.98   
700,0.98   
702,0.99   
704,0.99   
706,0.99   
708,0.98   
710,0.97   
712,0.96   
714,0.93   
716,0.89   
718,0.83   
720,0.77   
722,0.71   
724,0.67   
726,0.64   
728,0.65   
730,0.68   
732,0.73   
734,0.79   
736,0.85   
738,0.89   
740,0.93   
742,0.94   
744,0.95   
746,0.94   
748,0.92   
750,0.88   
752,0.83   
754,0.76   
756,0.67   
758,0.59   
760,0.51   
762,0.46   
764,0.41   
766,0.38   
768,0.36   
770,0.34   
772,0.31   
774,0.28   
776,0.24   
778,0.22   
780,0.21   
782,0.21   
784,0.22   
786,0.23   
788,0.24   
790,0.25   
792,0.26   
794,0.29   
796,0.33   
798,0.39   
800,0.46
