Dichroic: API-0054 Reflectence.
Wavelength,Reflectance
400,0.932038835
402,0.932038835
404,0.932038835
406,0.941747573
408,0.941747573
410,0.951456311
412,0.961165049
414,0.970873786
416,0.970873786
418,0.970873786
420,0.970873786
422,0.980582524
424,0.970873786
426,0.970873786
428,0.970873786
430,0.970873786
432,0.970873786
434,0.970873786
436,0.970873786
438,0.970873786
440,0.970873786
442,0.970873786
444,0.970873786
446,0.970873786
448,0.970873786
450,0.970873786
452,0.961165049
454,0.922330097
456,0.883495146
458,0.844660194
460,0.825242718
462,0.805825243
464,0.757281553
466,0.689320388
468,0.611650485
470,0.533980583
472,0.475728155
474,0.45631068
476,0.427184466
478,0.349514563
480,0.233009709
482,0.126213592
484,0.058252427
486,0.029126214
488,0.019417476
490,0.019417476
492,0.019417476
494,0.019417476
496,0.019417476
498,0.019417476
500,0.009708738
502,0.009708738
504,0.009708738
506,0.009708738
508,0.019417476
510,0.019417476
512,0.019417476
514,0.019417476
516,0.019417476
518,0.019417476
520,0.019417476
522,0.019417476
524,0.019417476
526,0.019417476
528,0.019417476
530,0.019417476
532,0.019417476
534,0.019417476
536,0.019417476
538,0.019417476
540,0.019417476
542,0.019417476
544,0.019417476
546,0.019417476
548,0.019417476
550,0.019417476
552,0.019417476
554,0.019417476
556,0.019417476
558,0.019417476
560,0.019417476
562,0.029126214
564,0.038834951
566,0.067961165
568,0.13592233
570,0.242718447
572,0.359223301
574,0.475728155
576,0.59223301
578,0.669902913
580,0.737864078
582,0.796116505
584,0.844660194
586,0.883495146
588,0.912621359
590,0.941747573
592,0.951456311
594,0.961165049
596,0.970873786
598,0.970873786
600,0.970873786
602,0.970873786
604,0.970873786
606,0.970873786
608,0.970873786
610,0.970873786
612,0.970873786
614,0.970873786
616,0.970873786
618,0.970873786
620,0.980582524
622,0.970873786
624,0.970873786
626,0.970873786
628,0.970873786
630,0.970873786
632,0.970873786
634,0.970873786
636,0.980582524
638,0.970873786
640,0.970873786
642,0.970873786
644,0.970873786
646,0.970873786
648,0.970873786
650,0.970873786
652,0.980582524
654,0.970873786
656,0.970873786
658,0.970873786
660,0.970873786
662,0.970873786
664,0.970873786
666,0.970873786
668,0.970873786
670,0.970873786
672,0.970873786
674,0.970873786
676,0.970873786
678,0.980582524
680,0.970873786
682,0.970873786
684,0.970873786
686,0.970873786
688,0.970873786
690,0.970873786
692,0.970873786
694,0.970873786
696,0.970873786
698,0.970873786
700,0.970873786
702,0.980582524
704,0.970873786
706,0.970873786
708,0.970873786
710,0.970873786
712,0.970873786
714,0.970873786
716,0.970873786
718,0.970873786
720,0.970873786
722,0.970873786
724,0.970873786
726,0.970873786
728,0.970873786
730,0.970873786
732,0.970873786
734,0.951456311
736,0.951456311
738,0.941747573
740,0.932038835
742,0.922330097
744,0.912621359
746,0.902912621
748,0.893203883
750,0.883495146
752,0.873786408
754,0.873786408
756,0.86407767
758,0.86407767
760,0.873786408
762,0.883495146
764,0.883495146
766,0.893203883
768,0.893203883
770,0.883495146
772,0.873786408
774,0.873786408
776,0.86407767
778,0.873786408
780,0.883495146
782,0.902912621
784,0.902912621
786,0.922330097
788,0.912621359
790,0.922330097
792,0.922330097
794,0.922330097
796,0.922330097
798,0.912621359
800,0.902912621
