Dichoric: API-0063 Reflectence
Wavelength,Reflectance
400,0.05
401,0.04
402,0.04
403,0.04
404,0.05
405,0.05
406,0.05
407,0.05
408,0.05
409,0.05
410,0.06
411,0.06
412,0.06
413,0.06
414,0.06
415,0.05
416,0.05
417,0.05
418,0.05
419,0.06
420,0.06
421,0.06
422,0.07
423,0.06
424,0.06
425,0.06
426,0.06
427,0.06
428,0.06
429,0.06
430,0.06
431,0.06
432,0.06
433,0.07
434,0.07
435,0.07
436,0.07
437,0.07
438,0.06
439,0.06
440,0.06
441,0.06
442,0.06
443,0.07
444,0.07
445,0.07
446,0.07
447,0.07
448,0.07
449,0.06
450,0.06
451,0.05
452,0.05
453,0.05
454,0.06
455,0.06
456,0.06
457,0.06
458,0.06
459,0.06
460,0.06
461,0.06
462,0.05
463,0.05
464,0.05
465,0.05
466,0.06
467,0.06
468,0.08
469,0.11
470,0.16
471,0.22
472,0.3
473,0.37
474,0.45
475,0.51
476,0.56
477,0.58
478,0.56
479,0.52
480,0.46
481,0.39
482,0.32
483,0.24
484,0.18
485,0.12
486,0.09
487,0.06
488,0.05
489,0.05
490,0.05
491,0.06
492,0.07
493,0.09
494,0.12
495,0.17
496,0.22
497,0.29
498,0.36
499,0.44
500,0.53
501,0.61
502,0.68
503,0.75
504,0.8
505,0.85
506,0.88
507,0.9
508,0.91
509,0.92
510,0.92
511,0.92
512,0.92
513,0.92
514,0.92
515,0.92
516,0.92
517,0.92
518,0.92
519,0.92
520,0.93
521,0.93
522,0.93
523,0.93
524,0.93
525,0.94
526,0.94
527,0.94
528,0.94
529,0.94
530,0.94
531,0.95
532,0.95
533,0.96
534,0.96
535,0.96
536,0.96
537,0.96
538,0.95
539,0.95
540,0.95
541,0.94
542,0.94
543,0.94
544,0.94
545,0.94
546,0.94
547,0.95
548,0.96
549,0.96
550,0.97
551,0.98
552,0.98
553,0.98
554,0.99
555,0.99
556,0.99
557,0.99
558,0.99
559,0.99
560,0.99
561,0.99
562,0.98
563,0.97
564,0.96
565,0.94
566,0.93
567,0.91
568,0.88
569,0.86
570,0.82
571,0.78
572,0.74
573,0.69
574,0.63
575,0.58
576,0.51
577,0.45
578,0.39
579,0.33
580,0.28
581,0.23
582,0.19
583,0.15
584,0.13
585,0.1
586,0.09
587,0.07
588,0.07
589,0.06
590,0.06
591,0.06
592,0.06
593,0.06
594,0.05
595,0.05
596,0.05
597,0.05
598,0.05
599,0.05
600,0.05
601,0.04
602,0.04
603,0.04
604,0.04
605,0.04
606,0.04
607,0.04
608,0.04
609,0.04
610,0.04
611,0.04
612,0.04
613,0.04
614,0.04
615,0.04
616,0.04
617,0.04
618,0.05
619,0.05
620,0.05
621,0.05
622,0.05
623,0.05
624,0.05
625,0.05
626,0.05
627,0.05
628,0.05
629,0.05
630,0.04
631,0.04
632,0.04
633,0.04
634,0.05
635,0.05
636,0.05
637,0.05
638,0.05
639,0.05
640,0.05
641,0.05
642,0.05
643,0.05
644,0.06
645,0.06
646,0.07
647,0.08
648,0.1
649,0.12
650,0.15
651,0.19
652,0.23
653,0.28
654,0.33
655,0.39
656,0.45
657,0.5
658,0.56
659,0.62
660,0.67
661,0.72
662,0.76
663,0.8
664,0.83
665,0.86
666,0.88
667,0.89
668,0.91
669,0.91
670,0.92
671,0.92
672,0.93
673,0.93
674,0.93
675,0.93
676,0.93
677,0.93
678,0.93
679,0.93
680,0.93
681,0.93
682,0.92
683,0.92
684,0.92
685,0.92
686,0.92
687,0.92
688,0.92
689,0.92
690,0.93
691,0.93
692,0.93
693,0.93
694,0.93
695,0.93
696,0.94
697,0.94
698,0.94
699,0.94
700,0.94
701,0.95
702,0.95
703,0.95
704,0.95
705,0.94
706,0.94
707,0.94
708,0.94
709,0.94
710,0.94
711,0.94
712,0.94
713,0.94
714,0.95
715,0.95
716,0.95
717,0.96
718,0.96
719,0.96
720,0.97
721,0.97
722,0.97
723,0.97
724,0.96
725,0.95
726,0.94
727,0.94
728,0.93
729,0.92
730,0.91
731,0.9
732,0.9
733,0.9
734,0.89
735,0.89
736,0.89
737,0.9
738,0.9
739,0.91
740,0.91
741,0.92
742,0.92
743,0.93
744,0.93
745,0.92
746,0.91
747,0.9
748,0.89
749,0.87
750,0.86
751,0.84
752,0.83
753,0.82
754,0.81
755,0.81
756,0.8
757,0.8
758,0.8
759,0.8
760,0.81
761,0.81
762,0.82
763,0.83
764,0.83
765,0.84
766,0.84
767,0.84
768,0.83
769,0.81
770,0.79
771,0.76
772,0.72
773,0.68
774,0.64
775,0.59
776,0.54
777,0.5
778,0.45
779,0.4
780,0.36
781,0.32
782,0.29
783,0.26
784,0.24
785,0.23
786,0.22
787,0.22
788,0.23
789,0.25
790,0.27
791,0.29
792,0.32
793,0.35
794,0.38
795,0.42
796,0.45
797,0.48
798,0.51
799,0.54
800,0.57
