Wavelength,API_0023
300,0
302,0.01
304,0.01
306,0.01
308,0.02
310,0.03
312,0.05
314,0.09
316,0.16
318,0.27
320,0.47
322,0.8
324,1.32
326,2.1
328,3.05
330,3.87
332,4.37
334,4.86
336,5.92
338,8.23
340,12.41
342,17.38
344,20.39
346,21.1
348,22.27
350,27.42
352,39.52
354,52.31
356,51.25
358,39.95
360,29.49
362,23.61
364,21.99
366,24.77
368,34.91
370,53.79
372,66.24
374,61.79
376,48.44
378,33.6
380,23.16
382,17.24
384,14.3
386,13.21
388,13.56
390,15.52
392,19.98
394,29.57
396,46.49
398,63.25
400,70.21
402,66.8
404,58.99
406,49.94
408,42.37
410,38.36
412,38.82
414,44.94
416,55.06
418,61.54
420,60.59
422,55.31
424,51.6
426,48.23
428,42.25
430,34.45
432,27.35
434,22.38
436,20.1
438,21.83
440,28.82
442,32.57
444,31.62
446,25.22
448,19.79
450,22.45
452,29.56
454,37.18
456,38.38
458,29.9
460,18.13
462,10.05
464,5.82
466,3.66
468,2.46
470,1.75
472,1.3
474,1
476,0.8
478,0.65
480,0.55
482,0.47
484,0.41
486,0.36
488,0.32
490,0.29
492,0.27
494,0.25
496,0.24
498,0.23
500,0.22
502,0.21
504,0.21
506,0.2
508,0.2
510,0.2
512,0.21
514,0.21
516,0.21
518,0.22
520,0.23
522,0.24
524,0.25
526,0.26
528,0.28
530,0.3
532,0.32
534,0.35
536,0.38
538,0.41
540,0.45
542,0.5
544,0.55
546,0.61
548,0.69
550,0.77
552,0.88
554,1
556,1.14
558,1.31
560,1.51
562,1.76
564,2.05
566,2.4
568,2.83
570,3.34
572,3.98
574,4.75
576,5.68
578,6.82
580,8.19
582,9.85
584,11.81
586,14.13
588,16.82
590,19.88
592,23.24
594,26.83
596,30.56
598,34.3
600,37.96
602,41.43
604,44.64
606,47.64
608,50.5
610,53.29
612,56.24
614,59.5
616,63.13
618,67.21
620,71.61
622,76.16
624,80.65
626,84.62
628,87.88
630,90.5
632,92.29
634,93.39
636,94.13
638,94.53
640,94.76
642,94.76
644,94.7
646,94.71
648,94.76
650,94.87
652,94.85
654,94.79
656,94.84
658,94.95
660,95.06
662,95.05
664,95
666,95.05
668,95.06
670,94.99
672,94.95
674,94.86
676,94.83
678,94.88
680,94.86
682,94.79
684,94.74
686,94.84
688,94.92
690,94.83
692,94.8
694,94.8
696,94.82
698,94.87
700,94.89
702,94.99
704,95.09
706,95
708,95.01
710,95
712,95.05
714,95.04
716,95.04
718,94.99
720,95.03
722,95.14
724,95.02
726,95
728,94.96
730,94.87
732,94.88
734,94.94
736,94.87
738,94.84
740,94.84
742,94.79
744,94.76
746,94.78
748,94.75
750,94.76
752,94.73
754,94.73
756,94.64
758,94.61
760,94.65
762,94.61
764,94.42
766,94.36
768,94.24
770,94.08
772,93.91
774,93.94
776,93.62
778,93.26
780,92.95
782,92.62
784,92.18
786,92
788,91.51
790,91.22
792,90.6
794,90.09
796,89.47
798,88.96
800,88.51
