Wavelength,APC_0024
300,0
302,0
304,0
306,0
308,0.01
310,0.02
312,0.05
314,0.1
316,0.18
318,0.32
320,0.53
322,0.8
324,1.09
326,1.39
328,1.75
330,2.32
332,3.37
334,5.16
336,7.38
338,8.97
340,9.69
342,10.77
344,13.77
346,20.99
348,34.21
350,45.69
352,44.32
354,36.45
356,31.84
358,32.82
360,40.28
362,55.32
364,71.41
366,74.96
368,64.01
370,49.27
372,38.17
374,31.88
376,28.91
378,28.54
380,30.4
382,34.24
384,40.13
386,48.07
388,57.79
390,68.31
392,77.94
394,85.76
396,90.76
398,93.53
400,94.5
402,94.95
404,94.81
406,94.76
408,94.65
410,94.91
412,94.8
414,94.99
416,94.92
418,94.88
420,94.88
422,94.84
424,94.75
426,94.89
428,94.83
430,94.88
432,94.99
434,95.07
436,95.07
438,95.07
440,94.98
442,94.98
444,94.82
446,94.83
448,94.86
450,94.92
452,94.9
454,94.88
456,95.06
458,95.14
460,95.1
462,95.19
464,95.16
466,95.16
468,95.1
470,94.98
472,94.92
474,94.89
476,95.03
478,95.19
480,95.23
482,95.24
484,94.97
486,94.54
488,93.46
490,91.68
492,89.14
494,85.74
496,81.57
498,76.87
500,72.04
502,67.35
504,63
506,59.11
508,55.49
510,52.04
512,48.54
514,44.6
516,40.08
518,35.18
520,30.05
522,25.04
524,20.44
526,16.49
528,13.2
530,10.55
532,8.45
534,6.81
536,5.54
538,4.54
540,3.76
542,3.15
544,2.66
546,2.27
548,1.95
550,1.7
552,1.49
554,1.31
556,1.17
558,1.05
560,0.95
562,0.87
564,0.79
566,0.73
568,0.68
570,0.64
572,0.6
574,0.57
576,0.54
578,0.52
580,0.5
582,0.48
584,0.47
586,0.46
588,0.45
590,0.44
592,0.44
594,0.43
596,0.43
598,0.43
600,0.44
602,0.44
604,0.45
606,0.46
608,0.47
610,0.48
612,0.5
614,0.52
616,0.54
618,0.56
620,0.59
622,0.62
624,0.66
626,0.7
628,0.74
630,0.8
632,0.86
634,0.93
636,1.01
638,1.1
640,1.21
642,1.33
644,1.47
646,1.64
648,1.83
650,2.06
652,2.34
654,2.66
656,3.05
658,3.52
660,4.1
662,4.79
664,5.64
666,6.71
668,8.02
670,9.64
672,11.65
674,14.12
676,17.1
678,20.62
680,24.61
682,28.94
684,33.32
686,37.4
688,40.86
690,43.3
692,44.61
694,44.86
696,44.16
698,42.84
700,41.28
702,39.89
704,38.92
706,38.69
708,39.59
710,41.89
712,45.79
714,50.94
716,56.27
718,60.15
720,61.4
722,59.68
724,55.92
726,51.57
728,47.52
730,44.23
732,41.84
734,40.15
736,39.03
738,38.48
740,38.31
742,38.43
744,38.82
746,39.49
748,40.36
750,41.46
752,42.75
754,44.19
756,45.7
758,47.37
760,49.2
762,51.12
764,52.97
766,54.94
768,57
770,59.02
772,61.06
774,63.22
776,65.24
778,67.21
780,69.2
782,71.38
784,73.46
786,75.66
788,77.7
790,79.93
792,81.81
794,83.58
796,85.07
798,86.11
800,87.04
